PIN,complete,date,calendar_time,timestamp,location,commit,version,q_num,q_text,Y/N
'00001',y,07-08-2020,09:46:00,95,United States,5b501e4,K,1,Would you like to receive information on the outcomes of the research?,No
'00001',y,07-08-2020,09:46:00,112,United States,5b501e4,K,2,Could we contact you about future research projects?,No
'00001',y,07-08-2020,09:46:00,229,United States,5b501e4,K,3,Do you have any suggestions for how we can improve the research?,Yes
'00001',y,07-08-2020,09:46:00,NA,United States,5b501e4,K,3,Text Response,NA
'00002',y,07-08-2020,09:45:58,97,India,5b501e4,A,1,Would you like to receive information on the outcomes of the research?,Yes
'00002',y,07-08-2020,09:45:58,146,India,5b501e4,A,2,Could we contact you about future research projects?,No
'00002',y,07-08-2020,09:45:58,196,India,5b501e4,A,3,Do you have any suggestions for how we can improve the research?,Yes
'00002',y,07-08-2020,09:45:58,NA,India,5b501e4,A,3,Text Response,NA
'00003',y,07-08-2020,09:46:08,67,United States,5b501e4,L,1,Would you like to receive information on the outcomes of the research?,Yes
'00003',y,07-08-2020,09:46:08,100,United States,5b501e4,L,2,Could we contact you about future research projects?,Yes
'00003',y,07-08-2020,09:46:08,153,United States,5b501e4,L,3,Do you have any suggestions for how we can improve the research?,No
'00003',y,07-08-2020,09:46:08,NA,United States,5b501e4,L,3,Text Response,NA
'00004',y,07-08-2020,09:45:54,48,Philippines,5b501e4,D,1,Would you like to receive information on the outcomes of the research?,Yes
'00004',y,07-08-2020,09:45:54,99,Philippines,5b501e4,D,2,Could we contact you about future research projects?,No
'00004',y,07-08-2020,09:45:54,196,Philippines,5b501e4,D,3,Do you have any suggestions for how we can improve the research?,Yes
'00004',y,07-08-2020,09:45:54,NA,Philippines,5b501e4,D,3,Text Response,NA
'00005',y,07-08-2020,09:45:56,85,United States,5b501e4,F,1,Would you like to receive information on the outcomes of the research?,No
'00005',y,07-08-2020,09:45:56,115,United States,5b501e4,F,2,Could we contact you about future research projects?,No
'00005',y,07-08-2020,09:45:56,165,United States,5b501e4,F,3,Do you have any suggestions for how we can improve the research?,Yes
'00005',y,07-08-2020,09:45:56,NA,United States,5b501e4,F,3,Text Response,NA
'00006',y,07-08-2020,09:45:55,46,Philippines,5b501e4,L,1,Would you like to receive information on the outcomes of the research?,Yes
'00006',y,07-08-2020,09:45:55,126,Philippines,5b501e4,L,2,Could we contact you about future research projects?,Yes
'00006',y,07-08-2020,09:45:55,159,Philippines,5b501e4,L,3,Do you have any suggestions for how we can improve the research?,Yes
'00006',y,07-08-2020,09:45:55,NA,Philippines,5b501e4,L,3,Text Response,NA
'00007',y,07-08-2020,09:45:06,101,United States,5b501e4,A,1,Would you like to receive information on the outcomes of the research?,Yes
'00007',y,07-08-2020,09:45:06,165,United States,5b501e4,A,2,Could we contact you about future research projects?,Yes
'00007',y,07-08-2020,09:45:06,198,United States,5b501e4,A,3,Do you have any suggestions for how we can improve the research?,No
'00007',y,07-08-2020,09:45:06,NA,United States,5b501e4,A,3,Text Response,NA
'00008',y,07-08-2020,09:45:24,123,United Kingdom,5b501e4,A,1,Would you like to receive information on the outcomes of the research?,No
'00008',y,07-08-2020,09:45:24,207,United Kingdom,5b501e4,A,2,Could we contact you about future research projects?,No
'00008',y,07-08-2020,09:45:24,323,United Kingdom,5b501e4,A,3,Do you have any suggestions for how we can improve the research?,Yes
'00008',y,07-08-2020,09:45:24,NA,United Kingdom,5b501e4,A,3,Text Response,NA
'00009',y,07-08-2020,09:46:06,96,India,5b501e4,D,1,Would you like to receive information on the outcomes of the research?,Yes
'00009',y,07-08-2020,09:46:06,215,India,5b501e4,D,2,Could we contact you about future research projects?,Yes
'00009',y,07-08-2020,09:46:06,333,India,5b501e4,D,3,Do you have any suggestions for how we can improve the research?,Yes
'00009',y,07-08-2020,09:46:06,NA,India,5b501e4,D,3,Text Response,NA
'00010',y,07-08-2020,09:46:05,129,local,5b501e4,D,1,Would you like to receive information on the outcomes of the research?,Yes
'00010',y,07-08-2020,09:46:05,234,local,5b501e4,D,2,Could we contact you about future research projects?,No
'00010',y,07-08-2020,09:46:05,298,local,5b501e4,D,3,Do you have any suggestions for how we can improve the research?,Yes
'00010',y,07-08-2020,09:46:05,NA,local,5b501e4,D,3,Text Response,NA
'00011',y,07-08-2020,09:44:50,227,United States,5b501e4,F,1,Would you like to receive information on the outcomes of the research?,Yes
'00011',y,07-08-2020,09:44:50,282,United States,5b501e4,F,2,Could we contact you about future research projects?,No
'00011',y,07-08-2020,09:44:50,325,United States,5b501e4,F,3,Do you have any suggestions for how we can improve the research?,Yes
'00011',y,07-08-2020,09:44:50,NA,United States,5b501e4,F,3,Text Response,NA
'00012',y,07-08-2020,09:45:05,116,Philippines,5b501e4,E,1,Would you like to receive information on the outcomes of the research?,No
'00012',y,07-08-2020,09:45:05,150,Philippines,5b501e4,E,2,Could we contact you about future research projects?,No
'00012',y,07-08-2020,09:45:05,182,Philippines,5b501e4,E,3,Do you have any suggestions for how we can improve the research?,No
'00012',y,07-08-2020,09:45:05,NA,Philippines,5b501e4,E,3,Text Response,NA
'00013',y,07-08-2020,09:46:10,130,India,5b501e4,C,1,Would you like to receive information on the outcomes of the research?,No
'00013',y,07-08-2020,09:46:10,211,India,5b501e4,C,2,Could we contact you about future research projects?,Yes
'00013',y,07-08-2020,09:46:10,309,India,5b501e4,C,3,Do you have any suggestions for how we can improve the research?,No
'00013',y,07-08-2020,09:46:10,NA,India,5b501e4,C,3,Text Response,NA
'00014',y,07-08-2020,09:46:03,66,India,5b501e4,J,1,Would you like to receive information on the outcomes of the research?,No
'00014',y,07-08-2020,09:46:03,180,India,5b501e4,J,2,Could we contact you about future research projects?,No
'00014',y,07-08-2020,09:46:03,249,India,5b501e4,J,3,Do you have any suggestions for how we can improve the research?,No
'00014',y,07-08-2020,09:46:03,NA,India,5b501e4,J,3,Text Response,NA
'00015',y,07-08-2020,09:45:13,75,United States,5b501e4,F,1,Would you like to receive information on the outcomes of the research?,Yes
'00015',y,07-08-2020,09:45:13,142,United States,5b501e4,F,2,Could we contact you about future research projects?,No
'00015',y,07-08-2020,09:45:13,242,United States,5b501e4,F,3,Do you have any suggestions for how we can improve the research?,No
'00015',y,07-08-2020,09:45:13,NA,United States,5b501e4,F,3,Text Response,NA
'00016',y,07-08-2020,09:45:40,75,United Kingdom,5b501e4,E,1,Would you like to receive information on the outcomes of the research?,Yes
'00016',y,07-08-2020,09:45:40,125,United Kingdom,5b501e4,E,2,Could we contact you about future research projects?,No
'00016',y,07-08-2020,09:45:40,190,United Kingdom,5b501e4,E,3,Do you have any suggestions for how we can improve the research?,No
'00016',y,07-08-2020,09:45:40,NA,United Kingdom,5b501e4,E,3,Text Response,NA
'00017',y,07-08-2020,09:45:59,117,India,5b501e4,A,1,Would you like to receive information on the outcomes of the research?,Yes
'00017',y,07-08-2020,09:45:59,232,India,5b501e4,A,2,Could we contact you about future research projects?,Yes
'00017',y,07-08-2020,09:45:59,329,India,5b501e4,A,3,Do you have any suggestions for how we can improve the research?,No
'00017',y,07-08-2020,09:45:59,NA,India,5b501e4,A,3,Text Response,NA
'00018',y,07-08-2020,09:46:04,118,local,5b501e4,D,1,Would you like to receive information on the outcomes of the research?,No
'00018',y,07-08-2020,09:46:04,230,local,5b501e4,D,2,Could we contact you about future research projects?,Yes
'00018',y,07-08-2020,09:46:04,331,local,5b501e4,D,3,Do you have any suggestions for how we can improve the research?,No
'00018',y,07-08-2020,09:46:04,NA,local,5b501e4,D,3,Text Response,NA
'00019',y,07-08-2020,09:46:03,41,India,5b501e4,K,1,Would you like to receive information on the outcomes of the research?,Yes
'00019',y,07-08-2020,09:46:03,107,India,5b501e4,K,2,Could we contact you about future research projects?,Yes
'00019',y,07-08-2020,09:46:03,173,India,5b501e4,K,3,Do you have any suggestions for how we can improve the research?,Yes
'00019',y,07-08-2020,09:46:03,NA,India,5b501e4,K,3,Text Response,NA
'00020',y,07-08-2020,09:45:25,42,United States,5b501e4,B,1,Would you like to receive information on the outcomes of the research?,No
'00020',y,07-08-2020,09:45:25,75,United States,5b501e4,B,2,Could we contact you about future research projects?,No
'00020',y,07-08-2020,09:45:25,108,United States,5b501e4,B,3,Do you have any suggestions for how we can improve the research?,Yes
'00020',y,07-08-2020,09:45:25,NA,United States,5b501e4,B,3,Text Response,NA
'00021',y,07-08-2020,09:46:09,66,local,5b501e4,E,1,Would you like to receive information on the outcomes of the research?,No
'00021',y,07-08-2020,09:46:09,97,local,5b501e4,E,2,Could we contact you about future research projects?,Yes
'00021',y,07-08-2020,09:46:09,114,local,5b501e4,E,3,Do you have any suggestions for how we can improve the research?,No
'00021',y,07-08-2020,09:46:09,NA,local,5b501e4,E,3,Text Response,NA
'00022',y,07-08-2020,09:45:53,93,India,5b501e4,L,1,Would you like to receive information on the outcomes of the research?,No
'00022',y,07-08-2020,09:45:53,193,India,5b501e4,L,2,Could we contact you about future research projects?,Yes
'00022',y,07-08-2020,09:45:53,226,India,5b501e4,L,3,Do you have any suggestions for how we can improve the research?,Yes
'00022',y,07-08-2020,09:45:53,NA,India,5b501e4,L,3,Text Response,NA
'00023',y,07-08-2020,09:46:03,61,India,5b501e4,C,1,Would you like to receive information on the outcomes of the research?,No
'00023',y,07-08-2020,09:46:03,112,India,5b501e4,C,2,Could we contact you about future research projects?,Yes
'00023',y,07-08-2020,09:46:03,203,India,5b501e4,C,3,Do you have any suggestions for how we can improve the research?,No
'00023',y,07-08-2020,09:46:03,NA,India,5b501e4,C,3,Text Response,NA
'00024',y,07-08-2020,09:45:33,86,Philippines,5b501e4,E,1,Would you like to receive information on the outcomes of the research?,Yes
'00024',y,07-08-2020,09:45:33,147,Philippines,5b501e4,E,2,Could we contact you about future research projects?,No
'00024',y,07-08-2020,09:45:33,165,Philippines,5b501e4,E,3,Do you have any suggestions for how we can improve the research?,Yes
'00024',y,07-08-2020,09:45:33,NA,Philippines,5b501e4,E,3,Text Response,NA
'00025',y,07-08-2020,09:45:39,120,United States,5b501e4,D,1,Would you like to receive information on the outcomes of the research?,No
'00025',y,07-08-2020,09:45:39,134,United States,5b501e4,D,2,Could we contact you about future research projects?,No
'00025',y,07-08-2020,09:45:39,218,United States,5b501e4,D,3,Do you have any suggestions for how we can improve the research?,No
'00025',y,07-08-2020,09:45:39,NA,United States,5b501e4,D,3,Text Response,NA
'00026',y,07-08-2020,09:46:05,52,India,5b501e4,K,1,Would you like to receive information on the outcomes of the research?,No
'00026',y,07-08-2020,09:46:05,135,India,5b501e4,K,2,Could we contact you about future research projects?,Yes
'00026',y,07-08-2020,09:46:05,240,India,5b501e4,K,3,Do you have any suggestions for how we can improve the research?,Yes
'00026',y,07-08-2020,09:46:05,NA,India,5b501e4,K,3,Text Response,NA
'00027',y,07-08-2020,09:44:57,67,United States,5b501e4,H,1,Would you like to receive information on the outcomes of the research?,No
'00027',y,07-08-2020,09:44:57,186,United States,5b501e4,H,2,Could we contact you about future research projects?,No
'00027',y,07-08-2020,09:44:57,235,United States,5b501e4,H,3,Do you have any suggestions for how we can improve the research?,Yes
'00027',y,07-08-2020,09:44:57,NA,United States,5b501e4,H,3,Text Response,NA
'00028',y,07-08-2020,09:46:02,44,United States,5b501e4,C,1,Would you like to receive information on the outcomes of the research?,No
'00028',y,07-08-2020,09:46:02,76,United States,5b501e4,C,2,Could we contact you about future research projects?,Yes
'00028',y,07-08-2020,09:46:02,145,United States,5b501e4,C,3,Do you have any suggestions for how we can improve the research?,Yes
'00028',y,07-08-2020,09:46:02,NA,United States,5b501e4,C,3,Text Response,NA
'00029',y,07-08-2020,09:44:50,211,local,5b501e4,G,1,Would you like to receive information on the outcomes of the research?,Yes
'00029',y,07-08-2020,09:44:50,311,local,5b501e4,G,2,Could we contact you about future research projects?,No
'00029',y,07-08-2020,09:44:50,344,local,5b501e4,G,3,Do you have any suggestions for how we can improve the research?,Yes
'00029',y,07-08-2020,09:44:50,NA,local,5b501e4,G,3,Text Response,NA
'00030',y,07-08-2020,09:46:05,118,United States,5b501e4,D,1,Would you like to receive information on the outcomes of the research?,Yes
'00030',y,07-08-2020,09:46:05,179,United States,5b501e4,D,2,Could we contact you about future research projects?,No
'00030',y,07-08-2020,09:46:05,264,United States,5b501e4,D,3,Do you have any suggestions for how we can improve the research?,Yes
'00030',y,07-08-2020,09:46:05,NA,United States,5b501e4,D,3,Text Response,NA
'00031',y,07-08-2020,09:46:03,131,United States,5b501e4,D,1,Would you like to receive information on the outcomes of the research?,No
'00031',y,07-08-2020,09:46:03,164,United States,5b501e4,D,2,Could we contact you about future research projects?,No
'00031',y,07-08-2020,09:46:03,199,United States,5b501e4,D,3,Do you have any suggestions for how we can improve the research?,No
'00031',y,07-08-2020,09:46:03,NA,United States,5b501e4,D,3,Text Response,NA
'00032',y,07-08-2020,09:46:04,105,India,5b501e4,B,1,Would you like to receive information on the outcomes of the research?,Yes
'00032',y,07-08-2020,09:46:04,117,India,5b501e4,B,2,Could we contact you about future research projects?,No
'00032',y,07-08-2020,09:46:04,217,India,5b501e4,B,3,Do you have any suggestions for how we can improve the research?,Yes
'00032',y,07-08-2020,09:46:04,NA,India,5b501e4,B,3,Text Response,NA
'00033',y,07-08-2020,09:45:24,70,United States,5b501e4,F,1,Would you like to receive information on the outcomes of the research?,No
'00033',y,07-08-2020,09:45:24,154,United States,5b501e4,F,2,Could we contact you about future research projects?,Yes
'00033',y,07-08-2020,09:45:24,237,United States,5b501e4,F,3,Do you have any suggestions for how we can improve the research?,No
'00033',y,07-08-2020,09:45:24,NA,United States,5b501e4,F,3,Text Response,NA
'00034',y,07-08-2020,09:46:01,112,United States,5b501e4,B,1,Would you like to receive information on the outcomes of the research?,Yes
'00034',y,07-08-2020,09:46:01,175,United States,5b501e4,B,2,Could we contact you about future research projects?,Yes
'00034',y,07-08-2020,09:46:01,244,United States,5b501e4,B,3,Do you have any suggestions for how we can improve the research?,Yes
'00034',y,07-08-2020,09:46:01,NA,United States,5b501e4,B,3,Text Response,NA
'00035',y,07-08-2020,09:45:59,123,United Kingdom,5b501e4,J,1,Would you like to receive information on the outcomes of the research?,Yes
'00035',y,07-08-2020,09:45:59,156,United Kingdom,5b501e4,J,2,Could we contact you about future research projects?,No
'00035',y,07-08-2020,09:45:59,172,United Kingdom,5b501e4,J,3,Do you have any suggestions for how we can improve the research?,No
'00035',y,07-08-2020,09:45:59,NA,United Kingdom,5b501e4,J,3,Text Response,NA
'00036',y,07-08-2020,09:45:08,66,United States,5b501e4,B,1,Would you like to receive information on the outcomes of the research?,No
'00036',y,07-08-2020,09:45:08,100,United States,5b501e4,B,2,Could we contact you about future research projects?,Yes
'00036',y,07-08-2020,09:45:08,149,United States,5b501e4,B,3,Do you have any suggestions for how we can improve the research?,No
'00036',y,07-08-2020,09:45:08,NA,United States,5b501e4,B,3,Text Response,NA
'00037',y,07-08-2020,09:45:13,62,United States,5b501e4,G,1,Would you like to receive information on the outcomes of the research?,No
'00037',y,07-08-2020,09:45:13,181,United States,5b501e4,G,2,Could we contact you about future research projects?,Yes
'00037',y,07-08-2020,09:45:13,228,United States,5b501e4,G,3,Do you have any suggestions for how we can improve the research?,Yes
'00037',y,07-08-2020,09:45:13,NA,United States,5b501e4,G,3,Text Response,NA
'00038',y,07-08-2020,09:45:53,115,United Kingdom,5b501e4,K,1,Would you like to receive information on the outcomes of the research?,No
'00038',y,07-08-2020,09:45:53,196,United Kingdom,5b501e4,K,2,Could we contact you about future research projects?,No
'00038',y,07-08-2020,09:45:53,261,United Kingdom,5b501e4,K,3,Do you have any suggestions for how we can improve the research?,Yes
'00038',y,07-08-2020,09:45:53,NA,United Kingdom,5b501e4,K,3,Text Response,NA
'00039',y,07-08-2020,09:45:58,43,India,5b501e4,G,1,Would you like to receive information on the outcomes of the research?,Yes
'00039',y,07-08-2020,09:45:58,58,India,5b501e4,G,2,Could we contact you about future research projects?,Yes
'00039',y,07-08-2020,09:45:58,141,India,5b501e4,G,3,Do you have any suggestions for how we can improve the research?,Yes
'00039',y,07-08-2020,09:45:58,NA,India,5b501e4,G,3,Text Response,NA
'00040',y,07-08-2020,13:24:46,4351,United States,5b501e4,G,1,Would you like to receive information on the outcomes of the research?,No
'00040',y,07-08-2020,13:24:46,2799,United States,5b501e4,G,2,Could we contact you about future research projects?,No
'00040',y,07-08-2020,13:24:46,1871,United States,5b501e4,G,3,Do you have any suggestions for how we can improve the research?,No
'00040',y,07-08-2020,13:24:46,4839,United States,5b501e4,G,3,Text Response,444
'00041',y,07-08-2020,09:45:14,69,United Kingdom,5b501e4,G,1,Would you like to receive information on the outcomes of the research?,No
'00041',y,07-08-2020,09:45:14,151,United Kingdom,5b501e4,G,2,Could we contact you about future research projects?,Yes
'00041',y,07-08-2020,09:45:14,202,United Kingdom,5b501e4,G,3,Do you have any suggestions for how we can improve the research?,No
'00041',y,07-08-2020,09:45:14,NA,United Kingdom,5b501e4,G,3,Text Response,NA
'00042',y,07-08-2020,09:46:01,128,India,5b501e4,F,1,Would you like to receive information on the outcomes of the research?,No
'00042',y,07-08-2020,09:46:01,179,India,5b501e4,F,2,Could we contact you about future research projects?,No
'00042',y,07-08-2020,09:46:01,262,India,5b501e4,F,3,Do you have any suggestions for how we can improve the research?,Yes
'00042',y,07-08-2020,09:46:01,NA,India,5b501e4,F,3,Text Response,NA
'00043',y,07-08-2020,09:46:06,138,United States,5b501e4,F,1,Would you like to receive information on the outcomes of the research?,No
'00043',y,07-08-2020,09:46:06,222,United States,5b501e4,F,2,Could we contact you about future research projects?,No
'00043',y,07-08-2020,09:46:06,297,United States,5b501e4,F,3,Do you have any suggestions for how we can improve the research?,Yes
'00043',y,07-08-2020,09:46:06,NA,United States,5b501e4,F,3,Text Response,NA
'00044',y,07-08-2020,09:45:59,136,India,5b501e4,I,1,Would you like to receive information on the outcomes of the research?,Yes
'00044',y,07-08-2020,09:45:59,234,India,5b501e4,I,2,Could we contact you about future research projects?,No
'00044',y,07-08-2020,09:45:59,302,India,5b501e4,I,3,Do you have any suggestions for how we can improve the research?,Yes
'00044',y,07-08-2020,09:45:59,NA,India,5b501e4,I,3,Text Response,NA
'00045',y,07-08-2020,09:45:17,58,India,5b501e4,G,1,Would you like to receive information on the outcomes of the research?,No
'00045',y,07-08-2020,09:45:17,90,India,5b501e4,G,2,Could we contact you about future research projects?,No
'00045',y,07-08-2020,09:45:17,192,India,5b501e4,G,3,Do you have any suggestions for how we can improve the research?,Yes
'00045',y,07-08-2020,09:45:17,NA,India,5b501e4,G,3,Text Response,NA
'00046',y,07-08-2020,09:46:12,63,United States,5b501e4,K,1,Would you like to receive information on the outcomes of the research?,No
'00046',y,07-08-2020,09:46:12,112,United States,5b501e4,K,2,Could we contact you about future research projects?,No
'00046',y,07-08-2020,09:46:12,144,United States,5b501e4,K,3,Do you have any suggestions for how we can improve the research?,Yes
'00046',y,07-08-2020,09:46:12,NA,United States,5b501e4,K,3,Text Response,NA
'00047',y,07-08-2020,09:45:48,129,United States,5b501e4,G,1,Would you like to receive information on the outcomes of the research?,No
'00047',y,07-08-2020,09:45:48,179,United States,5b501e4,G,2,Could we contact you about future research projects?,Yes
'00047',y,07-08-2020,09:45:48,229,United States,5b501e4,G,3,Do you have any suggestions for how we can improve the research?,Yes
'00047',y,07-08-2020,09:45:48,NA,United States,5b501e4,G,3,Text Response,NA
'00048',y,07-08-2020,09:44:55,75,United States,5b501e4,F,1,Would you like to receive information on the outcomes of the research?,Yes
'00048',y,07-08-2020,09:44:55,158,United States,5b501e4,F,2,Could we contact you about future research projects?,Yes
'00048',y,07-08-2020,09:44:55,176,United States,5b501e4,F,3,Do you have any suggestions for how we can improve the research?,Yes
'00048',y,07-08-2020,09:44:55,NA,United States,5b501e4,F,3,Text Response,NA
'00049',y,07-08-2020,09:46:17,57,United States,5b501e4,G,1,Would you like to receive information on the outcomes of the research?,Yes
'00049',y,07-08-2020,09:46:17,142,United States,5b501e4,G,2,Could we contact you about future research projects?,Yes
'00049',y,07-08-2020,09:46:17,240,United States,5b501e4,G,3,Do you have any suggestions for how we can improve the research?,No
'00049',y,07-08-2020,09:46:17,NA,United States,5b501e4,G,3,Text Response,NA
'00050',y,07-08-2020,09:46:05,109,India,5b501e4,K,1,Would you like to receive information on the outcomes of the research?,Yes
'00050',y,07-08-2020,09:46:05,131,India,5b501e4,K,2,Could we contact you about future research projects?,No
'00050',y,07-08-2020,09:46:05,208,India,5b501e4,K,3,Do you have any suggestions for how we can improve the research?,No
'00050',y,07-08-2020,09:46:05,NA,India,5b501e4,K,3,Text Response,NA
'00051',y,07-08-2020,09:46:04,129,United States,5b501e4,A,1,Would you like to receive information on the outcomes of the research?,Yes
'00051',y,07-08-2020,09:46:04,162,United States,5b501e4,A,2,Could we contact you about future research projects?,Yes
'00051',y,07-08-2020,09:46:04,247,United States,5b501e4,A,3,Do you have any suggestions for how we can improve the research?,No
'00051',y,07-08-2020,09:46:04,NA,United States,5b501e4,A,3,Text Response,NA
